Year,Month,Salary,Total_Expenses
2000,12,0.0,0.0
2001,12,10000.0,8017.23
2002,12,10800.0,8286.42
2003,12,11664.0,8867.68
2004,12,12597.12,9369.62
2005,12,13604.89,10122.87
2006,12,14693.28,11161.89
2007,12,15868.74,11785.89
2008,12,17138.24,11658.2
2009,12,18509.3,12317.81
2010,12,19990.05,13287.13
2011,12,21589.25,14223.32
2012,12,23316.39,15427.57
2013,12,25181.7,15919.08
2014,12,27196.24,16577.13
2015,12,29371.94,17587.78
2016,12,31721.69,18497.91
2017,12,34259.43,21132.33
2018,12,37000.18,20741.19
2019,12,39960.19,23831.37
2020,12,43157.01,24750.09
2021,12,46609.57,26796.47
2022,1,51848.49,27077.15
2022,2,51848.49,29075.59
2022,3,51848.49,26549.86
2022,4,51848.49,26732.09
2022,5,51848.49,26524.65
2022,6,51848.49,27762.86
2022,7,53403.94,29423.38
2022,8,53403.94,29521.82
2022,9,53403.94,29684.51
2022,10,53403.94,28077.26
2022,11,53403.94,28124.79
2022,12,53403.94,29133.77
2023,1,59406.54,30743.34
2023,2,59406.54,31503.67
2023,3,59406.54,30301.1
2023,4,59406.54,31116.32
2023,5,59406.54,30027.59
2023,6,59406.54,30160.71
2023,7,61188.74,31343.69
2023,8,61188.74,30905.55
2023,9,61188.74,31623.36
2023,10,61188.74,30855.51
2023,11,61188.74,31618.47
2023,12,61188.74,30012.85
2024,1,68066.36,32532.1
2024,2,68066.36,32181.29
2024,3,68066.36,32626.37
2024,4,68066.36,32400.81
2024,5,68066.36,35129.16
2024,6,68066.36,34267.61
2024,7,70108.35,36095.09
2024,8,70108.35,32892.95
2024,9,70108.35,34290.72
2024,10,70108.35,34594.2
2024,11,70108.35,32930.55
2024,12,70108.35,34470.39
